Month,close
January,13418.703131313132
February,13298.735037313434
March,13007.167003484321
April,13608.790639097744
May,14033.086533333333
June,13865.520637583892
July,14241.204058441557
August,14058.40890784983
September,14123.0525
October,14453.519680851063
November,15010.823120567376
December,14939.077879858658
