model,MAE,RMSE,R2
Linear SVR,204.60129588979132,283.84341416701903,0.9856589343304755
Naive Baseline,204.97923076923078,284.0006816893227,0.9856430381809342
RBF SVR,9791.114638833766,11028.135372033326,-20.648507351330032
Polynomial SVR,14142.879404783034,15806.079799397625,-43.470511103587505
