Year,close
2006,4732.153453815261
2007,6887.505060240964
2008,6564.798780487805
2009,6814.4437391304355
2010,10359.091666666667
2011,10297.866842105263
2012,10509.23892430279
2013,11414.96912
2014,14522.657090163935
2015,18096.147701612903
2016,17560.80789473684
2017,23067.19415322581
2018,26106.828048780488
2019,29312.440248962655
